Region,Date,Unemployment_Rate
Madhya Pradesh,2019-09-30,3.08
Madhya Pradesh,2019-10-31,2.98
Madhya Pradesh,2019-11-30,2.72
Madhya Pradesh,2019-12-31,2.94
Madhya Pradesh,2020-01-31,3.66
Madhya Pradesh,2020-02-29,4.42
Madhya Pradesh,2020-03-31,1.19
Madhya Pradesh,2020-04-30,12.5
Madhya Pradesh,2020-05-31,22.46
Madhya Pradesh,2020-06-30,6.46
Maharashtra,2019-05-31,3.67
Maharashtra,2019-06-30,4.34
Maharashtra,2019-07-31,3.66
Maharashtra,2019-08-31,3.76
Maharashtra,2019-09-30,4.4
Maharashtra,2019-10-31,3.81
Maharashtra,2019-11-30,3.68
Maharashtra,2019-12-31,3.03
Maharashtra,2020-01-31,3.8
Maharashtra,2020-02-29,4.24
Maharashtra,2020-03-31,5.38
Maharashtra,2020-04-30,25.28
Maharashtra,2020-05-31,16.89
Maharashtra,2020-06-30,9.4
Meghalaya,2019-05-31,3.16
Meghalaya,2019-06-30,4.23
Meghalaya,2019-07-31,1.03
Meghalaya,2019-08-31,0.52
Meghalaya,2019-09-30,0.24
Meghalaya,2019-10-31,3.7
Meghalaya,2019-11-30,1.5
Meghalaya,2019-12-31,1.8
Meghalaya,2020-01-31,0.97
Meghalaya,2020-02-29,2.76
Meghalaya,2020-03-31,1.28
Meghalaya,2020-04-30,8.38
Meghalaya,2020-05-31,3.73
Meghalaya,2020-06-30,1.35
Odisha,2019-05-31,4.17
Odisha,2019-06-30,4.71
Odisha,2019-07-31,3.31
Odisha,2019-08-31,3.68
Odisha,2019-09-30,4.31
Odisha,2019-10-31,4.28
Odisha,2019-11-30,4.72
Odisha,2019-12-31,4.67
Odisha,2020-01-31,1.81
Odisha,2020-02-29,3.31
Odisha,2020-03-31,15.09
Odisha,2020-04-30,24.48
Odisha,2020-05-31,9.45
Odisha,2020-06-30,4.59
Puducherry,2019-05-31,0.0
Puducherry,2019-06-30,0.0
Puducherry,2019-07-31,0.0
Puducherry,2019-08-31,4.85
Puducherry,2019-09-30,0.0
Puducherry,2019-10-31,1.18
Puducherry,2019-11-30,0.0
Puducherry,2019-12-31,1.99
Puducherry,2020-01-31,0.58
Puducherry,2020-02-29,1.74
Puducherry,2020-03-31,2.31
Puducherry,2020-04-30,74.51
Punjab,2019-05-31,9.17
Punjab,2019-06-30,12.21
Punjab,2019-07-31,9.64
Punjab,2019-08-31,6.69
Punjab,2019-09-30,8.59
Punjab,2019-10-31,12.56
Punjab,2019-11-30,7.07
Punjab,2019-12-31,6.13
Punjab,2020-01-31,9.69
Punjab,2020-02-29,10.41
Punjab,2020-03-31,10.51
Punjab,2020-04-30,3.69
Punjab,2020-05-31,40.59
Punjab,2020-06-30,20.0
Rajasthan,2019-05-31,4.03
Rajasthan,2019-06-30,13.7
Rajasthan,2019-07-31,9.7
Rajasthan,2019-08-31,12.5
Rajasthan,2019-09-30,5.45
Rajasthan,2019-10-31,14.66
Rajasthan,2019-11-30,10.47
Rajasthan,2019-12-31,13.96
Rajasthan,2020-01-31,8.0
Rajasthan,2020-02-29,14.48
Rajasthan,2020-03-31,9.47
Rajasthan,2020-04-30,12.25
Rajasthan,2020-05-31,10.45
Rajasthan,2020-06-30,13.86
Sikkim,2019-10-31,5.48
Sikkim,2019-11-30,13.11
Sikkim,2019-12-31,1.0
Sikkim,2020-04-30,0.0
Sikkim,2020-06-30,5.81
Tamil Nadu,2019-05-31,0.97
Tamil Nadu,2019-06-30,0.92
Tamil Nadu,2019-07-31,6.01
Tamil Nadu,2019-08-31,2.91
Tamil Nadu,2019-09-30,1.71
Tamil Nadu,2019-10-31,1.46
Tamil Nadu,2019-11-30,2.46
Tamil Nadu,2019-12-31,3.73
Tamil Nadu,2020-01-31,1.18
